,du_normal,u_normal,dv_normal,f_star_normal,x,t,du_physics,u_physics,dv_physics,f_star_physics,u_actual,actual_normal_noise,actual_physics_noise,du_dv_normal_noise,du_dv_physics_noise
13,-0.10177548,0.3176775,-1.1551731,1.0533975,-0.8980392,0,-0.2530571,0.26322532,-0.526389,0.2733319,0.31,0.0076775,0.04677468,1.05339762,0.2733319
14,-0.09985777,0.34571093,-1.2488494,1.1489916,-0.8901961,0,-0.25667915,0.277785,-0.53396845,0.2772893,0.34,0.00571093,0.062215,1.14899163,0.2772893
15,-0.097626515,0.37333596,-1.3306563,1.2330297,-0.88235295,0,-0.2593132,0.29180366,-0.5390008,0.2796876,0.36,0.01333596,0.06819634,1.233029785,0.2796876
16,-0.09517352,0.4004342,-1.4004781,1.3053046,-0.8745098,0,-0.261019,0.30529523,-0.5417035,0.28068453,0.38,0.0204342,0.07470477,1.30530458,0.2806845
17,-0.092579156,0.4269156,-1.458707,1.3661278,-0.8666667,0,-0.26185894,0.3182714,-0.54228395,0.280425,0.41,0.0169156,0.0917286,1.366127844,0.28042501
18,-0.08991034,0.45271486,-1.506102,1.4161916,-0.85882354,0,-0.26189405,0.33074605,-0.54094094,0.27904686,0.43,0.02271486,0.09925395,1.41619166,0.27904689
19,-0.087221205,0.47779077,-1.5436713,1.4564501,-0.8509804,0,-0.26118305,0.3427317,-0.53786236,0.2766793,0.45,0.02779077,0.1072683,1.456450095,0.27667931
20,-0.084553085,0.5021214,-1.5725504,1.4879973,-0.84313726,0,-0.25978473,0.35424137,-0.533226,0.27344128,0.47,0.0321214,0.11575863,1.487997315,0.27344127
21,-0.081936285,0.5256999,-1.5939156,1.5119793,-0.8352941,0,-0.2577538,0.36528784,-0.5271971,0.26944333,0.49,0.0356999,0.12471216,1.511979315,0.2694433
22,-0.079391144,0.5485326,-1.6089091,1.529518,-0.827451,0,-0.25514233,0.37588668,-0.5199333,0.26479095,0.52,0.0285326,0.14411332,1.529517956,0.26479097
23,-0.07692956,0.5706326,-1.6185765,1.541647,-0.81960785,0,-0.25200224,0.3860494,-0.51157695,0.25957474,0.54,0.0306326,0.1539506,1.54164694,0.25957471
24,-0.074556835,0.59202325,-1.623865,1.5493082,-0.8117647,0,-0.2483798,0.39578903,-0.50225973,0.25387993,0.56,0.03202325,0.16421097,1.549308165,0.25387993
25,-0.072272874,0.61272943,-1.6255741,1.5533012,-0.8039216,0,-0.24431992,0.40511912,-0.49210507,0.24778515,0.58,0.03272943,0.17488088,1.553301226,0.24778515
26,-0.070073985,0.6327787,-1.6243635,1.5542896,-0.79607844,0,-0.2398641,0.4140519,-0.48122182,0.24135773,0.6,0.0327787,0.1859481,1.554289515,0.24135772
27,-0.06795334,0.6522012,-1.6207659,1.5528126,-0.7882353,0,-0.23505099,0.42259943,-0.46971008,0.23465909,0.62,0.0322012,0.19740057,1.55281256,0.23465909
28,-0.06590247,0.6710243,-1.6151756,1.5492731,-0.78039217,0,-0.22991551,0.4307742,-0.4576605,0.227745,0.64,0.0310243,0.2092258,1.54927313,0.22774499
29,-0.06391145,0.68927485,-1.6078614,1.54395,-0.77254903,0,-0.2244909,0.4385876,-0.44515413,0.22066325,0.66,0.02927485,0.2214124,1.54394995,0.22066323
30,-0.06197068,0.70697945,-1.599004,1.5370333,-0.7647059,0,-0.21880543,0.44605136,-0.4322616,0.21345615,0.67,0.03697945,0.22394864,1.53703332,0.21345617
31,-0.06007028,0.7241581,-1.5886745,1.5286043,-0.75686276,0,-0.21288699,0.4531753,-0.41904682,0.20615983,0.69,0.0341581,0.2368247,1.52860422,0.20615983
32,-0.058200937,0.74083143,-1.5768735,1.5186726,-0.7490196,0,-0.20675963,0.45997053,-0.40556526,0.19880565,0.71,0.03083143,0.25002947,1.518672563,0.19880563
33,-0.056354374,0.757016,-1.5635405,1.507186,-0.7411765,0,-0.2004448,0.46644646,-0.39186528,0.19142048,0.73,0.027016,0.26355354,1.507186126,0.19142048
34,-0.054523807,0.77272314,-1.5485536,1.4940298,-0.73333335,0,-0.19396201,0.4726131,-0.37798938,0.18402737,0.74,0.03272314,0.2673869,1.494029793,0.18402737
35,-0.05270297,0.7879641,-1.5317618,1.4790587,-0.7254902,0,-0.18732855,0.4784788,-0.36397344,0.1766449,0.76,0.0279641,0.2815212,1.47905883,0.17664489
36,-0.05088811,0.80274457,-1.5129781,1.46209,-0.7176471,0,-0.18056011,0.48405266,-0.349849,0.16928886,0.78,0.02274457,0.29594734,1.46208999,0.16928889
37,-0.049076468,0.81706744,-1.4919984,1.442922,-0.70980394,0,-0.17367053,0.4893425,-0.3356424,0.16197185,0.79,0.02706744,0.3006575,1.442921932,0.16197187
38,-0.047267105,0.8309341,-1.4686184,1.4213513,-0.7019608,0,-0.16667217,0.49435633,-0.32137647,0.1547043,0.81,0.0209341,0.31564367,1.421351295,0.1547043
39,-0.045460634,0.84434307,-1.4426216,1.397161,-0.69411767,0,-0.15957631,0.49910092,-0.30706948,0.14749318,0.82,0.02434307,0.32089908,1.397160966,0.14749317
40,-0.04365932,0.857289,-1.4138051,1.3701458,-0.6862745,0,-0.152393,0.50358284,-0.2927386,0.1403456,0.83,0.027289,0.32641716,1.37014578,0.1403456
41,-0.041867208,0.869766,-1.3819835,1.3401163,-0.6784314,0,-0.14513211,0.5078085,-0.2783977,0.13326558,0.85,0.019766,0.3421915,1.340116292,0.13326559
42,-0.040089745,0.8817649,-1.346981,1.3068913,-0.67058825,0,-0.13780223,0.51178443,-0.26405868,0.12625645,0.86,0.0217649,0.34821557,1.306891255,0.12625645
43,-0.03833394,0.8932753,-1.3086569,1.270323,-0.6627451,0,-0.1304113,0.51551676,-0.24973144,0.11932014,0.87,0.0232753,0.35448324,1.27032296,0.11932014
44,-0.036608208,0.9042882,-1.2669038,1.2302955,-0.654902,0,-0.12296809,0.51900864,-0.23542564,0.11245754,0.88,0.0242882,0.36099136,1.230295592,0.11245755
45,-0.03492188,0.9147894,-1.2216333,1.1867114,-0.64705884,0,-0.11548029,0.5222672,-0.2211498,0.10566951,0.9,0.0147894,0.3777328,1.18671142,0.10566951
46,-0.03328606,0.9247665,-1.1728055,1.1395195,-0.6392157,0,-0.10795663,0.52529585,-0.20691334,0.09895671,0.91,0.0147665,0.38470415,1.13951944,0.09895671
47,-0.03171238,0.9342065,-1.1204147,1.0887023,-0.6313726,0,-0.10040483,0.52809954,-0.19272265,0.09231781,0.92,0.0142065,0.39190046,1.08870232,0.09231782
48,-0.030213479,0.9430969,-1.0644954,1.034282,-0.62352943,0,-0.09283421,0.53068185,-0.17858683,0.085752614,0.93,0.0130969,0.39931815,1.034281921,0.08575262
49,-0.028802946,0.9514227,-1.0051154,0.97631246,-0.6156863,0,-0.085253246,0.5330471,-0.16451447,0.07926123,0.93,0.0214227,0.3969529,0.976312454,0.079261224
50,-0.027494658,0.95917165,-0.94239205,0.9148974,-0.60784316,0,-0.077671885,0.53519976,-0.15051469,0.0728428,0.94,0.01917165,0.40480024,0.914897392,0.072842805
51,-0.0263032,0.9663317,-0.8764656,0.85016245,-0.6,0,-0.07009997,0.53714216,-0.13659649,0.06649651,0.95,0.0163317,0.41285784,0.8501624,0.06649652
52,-0.025243394,0.97289056,-0.8075276,0.7822842,-0.5921569,0,-0.06254831,0.5388781,-0.12277055,0.06022224,0.96,0.01289056,0.4211219,0.782284206,0.06022224
53,-0.02433023,0.97883797,-0.7357929,0.7114626,-0.58431375,0,-0.05502842,0.5404111,-0.10904902,0.054020606,0.97,0.00883797,0.4295889,0.71146267,0.0540206
54,-0.023578553,0.9841637,-0.66150665,0.6379281,-0.5764706,0,-0.0475525,0.5417448,-0.09544399,0.047891483,0.97,0.0141637,0.4282552,0.637928097,0.04789149
55,-0.023003822,0.9888588,-0.58493793,0.5619341,-0.5686275,0,-0.040132754,0.5428817,-0.08196835,0.041835595,0.98,0.0088588,0.4371183,0.561934108,0.041835596
56,-0.022620315,0.9929167,-0.5063849,0.48376462,-0.56078434,0,-0.032783117,0.54382515,-0.06863743,0.035854317,0.98,0.0129167,0.43617485,0.483764585,0.035854313
57,-0.022443023,0.99633133,-0.42615855,0.40371552,-0.5529412,0,-0.025517417,0.5445788,-0.05546672,0.0299493,0.99,0.00633133,0.4454212,0.403715527,0.029949303
58,-0.022485977,0.99909663,-0.34458494,0.32209897,-0.54509807,0,-0.018350538,0.54514545,-0.04247295,0.024122413,0.99,0.00909663,0.44485455,0.322098963,0.024122412
59,-0.022762831,1.0012107,-0.26199743,0.23923458,-0.5372549,0,-0.011297436,0.54552877,-0.029673811,0.018376375,0.99,0.0112107,0.44447123,0.239234599,0.018376376
60,-0.023286952,1.002671,-0.17873558,0.15544865,-0.5294118,0,-0.004374755,0.5457318,-0.01708965,0.012714895,1,0.002671,0.4542682,0.155448628,0.012714895
61,-0.024070958,1.0034772,-0.09514363,0.071072675,-0.52156866,0,0.002402406,0.5457584,-0.004738207,0.007140613,1,0.0034772,0.4542416,0.071072672,0.007140613
62,-0.025126912,1.0036305,-0.011559803,-0.013567109,-0.5137255,0,0.009016481,0.54561174,0.007357828,0.001658653,1,0.0036305,0.45438826,0.013567109,0.001658653
63,-0.026466321,1.0031321,0.07168503,-0.098151356,-0.5058824,0,0.015451096,0.54529667,0.019177688,-0.003726592,1,0.0031321,0.45470333,0.098151351,0.003726592
64,-0.028100105,1.0019867,0.15427385,-0.18237396,-0.49803922,0,0.021689342,0.5448159,0.030699108,-0.009009765,1,0.0019867,0.4551841,0.182373955,0.009009766
65,-0.0300382,1.0001979,0.23589009,-0.2659283,-0.49019608,0,0.027714258,0.544174,0.041899312,-0.014185055,1,0.0001979,0.455826,0.26592829,0.014185054
66,-0.032290164,0.9977722,0.31624025,-0.3485304,-0.48235294,0,0.03350932,0.5433759,0.052755106,-0.019245785,1,0.0022278,0.4566241,0.348530414,0.019245786
67,-0.03486548,0.99471587,0.3950609,-0.4299264,-0.4745098,0,0.039058108,0.54242593,0.06324307,-0.02418496,1,0.00528413,0.45757407,0.42992638,0.024184962
68,-0.037771873,0.9910366,0.4720825,-0.5098544,-0.46666667,0,0.044345267,0.5413288,0.07334057,-0.028995305,0.99,0.0010366,0.4486712,0.509854373,0.028995303
69,-0.041017286,0.9867437,0.54707426,-0.58809155,-0.45882353,0,0.049356263,0.5400895,0.08302597,-0.033669703,0.99,0.0032563,0.4499105,0.588091546,0.033669707
70,-0.04460921,0.98184603,0.61981755,-0.66442674,-0.4509804,0,0.05407727,0.53871405,0.09227689,-0.038199622,0.99,0.00815397,0.45128595,0.66442676,0.03819962
71,-0.04855444,0.9763521,0.6901276,-0.73868203,-0.44313726,0,0.058496296,0.53720725,0.10107278,-0.042576484,0.98,0.0036479,0.44279275,0.73868204,0.042576484
72,-0.05285875,0.9702754,0.75782526,-0.810684,-0.43529412,0,0.062602945,0.53557545,0.10939606,-0.046793114,0.98,0.0097246,0.44442455,0.81068401,0.046793115
73,-0.057528507,0.9636253,0.82276475,-0.88029325,-0.42745098,0,0.066388465,0.53382504,0.11722842,-0.050839953,0.97,0.0063747,0.43617496,0.880293257,0.050839955
74,-0.062569216,0.9564126,0.8848175,-0.94738674,-0.41960785,0,0.06984641,0.5319617,0.12455618,-0.05470977,0.97,0.0135874,0.4380383,0.947386716,0.05470977
75,-0.0679858,0.9486502,0.943878,-1.0118638,-0.4117647,0,0.07297249,0.5299923,0.13136609,-0.0583936,0.96,0.0113498,0.4300077,1.0118638,0.0583936
76,-0.07378356,0.9403484,0.99985766,-1.0736412,-0.40392157,0,0.07576547,0.5279237,0.13765015,-0.061884686,0.95,0.0096516,0.4220763,1.07364122,0.06188468
77,-0.079966955,0.93152046,1.0526849,-1.1326518,-0.39607844,0,0.07822625,0.52576214,0.143402,-0.06517574,0.95,0.01847954,0.42423786,1.132651855,0.06517575
78,-0.086540505,0.92217696,1.1023109,-1.1888514,-0.3882353,0,0.08036,0.5235151,0.14862074,-0.06826074,0.94,0.01782304,0.4164849,1.188851405,0.06826074
79,-0.0935086,0.91233164,1.1486965,-1.2422051,-0.38039216,0,0.08217319,0.521189,0.15330845,-0.07113526,0.93,0.01766836,0.408811,1.2422051,0.07113526
80,-0.10087524,0.9019941,1.1918234,-1.2926986,-0.37254903,0,0.0836769,0.5187912,0.15747185,-0.073794946,0.92,0.0180059,0.4012088,1.29269864,0.07379495
81,-0.10864411,0.89117706,1.2316765,-1.3403206,-0.3647059,0,0.08488443,0.5163279,0.16112138,-0.076236956,0.91,0.01882294,0.3936721,1.34032061,0.07623695
82,-0.116819985,0.87989134,1.2682642,-1.3850842,-0.35686275,0,0.085812725,0.5138063,0.16427444,-0.07846172,0.9,0.02010866,0.3861937,1.385084185,0.078461715
83,-0.12540556,0.8681487,1.3015912,-1.4269967,-0.34901962,0,0.08648068,0.5112327,0.16695008,-0.0804694,0.89,0.0218513,0.3787673,1.42699676,0.0804694
84,-0.1344053,0.85595906,1.3316852,-1.4660904,-0.34117648,0,0.08691088,0.50861275,0.16917568,-0.082264796,0.88,0.02404094,0.37138725,1.4660905,0.0822648
85,-0.14382243,0.84333396,1.3585687,-1.5023911,-0.33333334,0,0.08712765,0.5059526,0.17098114,-0.08385349,0.87,0.02666604,0.3640474,1.50239113,0.08385349
86,-0.1536596,0.8302826,1.3822696,-1.5359292,-0.3254902,0,0.087157294,0.5032568,0.17240158,-0.08524428,0.85,0.0197174,0.3467432,1.5359292,0.085244286
87,-0.16392131,0.81681573,1.4028356,-1.566757,-0.31764707,0,0.087027065,0.5005313,0.1734759,-0.08644884,0.84,0.02318427,0.3394687,1.56675691,0.086448835
88,-0.1746091,0.8029412,1.4202958,-1.5949049,-0.30980393,0,0.08676613,0.4977792,0.17424867,-0.08748254,0.83,0.0270588,0.3322208,1.5949049,0.08748254
89,-0.18572652,0.78866893,1.4346994,-1.6204259,-0.3019608,0,0.08640309,0.49500352,0.17476626,-0.08836316,0.81,0.02133107,0.31499648,1.62042592,0.08836317
90,-0.19727561,0.7740084,1.4460884,-1.6433641,-0.29411766,0,0.085966475,0.49220818,0.17508008,-0.08911359,0.8,0.0259916,0.30779182,1.64336401,0.089113605
91,-0.2092588,0.75896555,1.4545041,-1.6637629,-0.28627452,0,0.085483365,0.4893942,0.1752411,-0.08975774,0.78,0.02103445,0.2906058,1.6637629,0.089757735
92,-0.22167763,0.7435501,1.4599924,-1.6816701,-0.2784314,0,0.084980324,0.48656237,0.17530513,-0.090324804,0.77,0.0264499,0.28343763,1.68167003,0.090324806
93,-0.2345333,0.72776806,1.4625932,-1.6971265,-0.27058825,0,0.08448003,0.4837128,0.17532812,-0.09084809,0.75,0.02223194,0.2662872,1.6971265,0.09084809
94,-0.2478268,0.7116256,1.4623464,-1.7101732,-0.2627451,0,0.08400343,0.4808457,0.17536372,-0.09136028,0.73,0.0183744,0.2491543,1.7101732,0.09136029
95,-0.26155764,0.69513357,1.4592968,-1.7208545,-0.25490198,0,0.08356747,0.47795743,0.17546992,-0.09190244,0.72,0.02486643,0.24204257,1.72085444,0.09190245
96,-0.27572545,0.678295,1.4534745,-1.7292,-0.24705882,0,0.083185166,0.475047,0.17569643,-0.09251126,0.7,0.021705,0.224953,1.72919995,0.092511264
97,-0.2903289,0.6611161,1.4449143,-1.7352432,-0.23921569,0,0.08286507,0.47210944,0.17609355,-0.093228474,0.68,0.0188839,0.20789056,1.7352432,0.09322848
98,-0.3053659,0.6436032,1.4336506,-1.7390165,-0.23137255,0,0.082611546,0.46914148,0.17670466,-0.09409311,0.66,0.0163968,0.19085852,1.7390165,0.094093114
99,-0.32083246,0.6257626,1.4197073,-1.7405398,-0.22352941,0,0.0824238,0.4661379,0.177565,-0.0951412,0.65,0.0242374,0.1838621,1.74053976,0.0951412
100,-0.33672553,0.6075969,1.4031118,-1.7398374,-0.21568628,0,0.08229601,0.46309257,0.17870066,-0.09640465,0.63,0.0224031,0.16690743,1.73983733,0.09640465
101,-0.35303774,0.5891154,1.3838905,-1.7369282,-0.20784314,0,0.08221859,0.46000022,0.18012397,-0.09790539,0.61,0.0208846,0.14999978,1.73692824,0.09790538
102,-0.3697648,0.5703187,1.362059,-1.7318238,-0.2,0,0.082177736,0.45685542,0.18182838,-0.09965064,0.59,0.0196813,0.13314458,1.7318238,0.099650644
103,-0.38689613,0.55121356,1.3376366,-1.7245327,-0.19215687,0,0.08215548,0.4536531,0.18378524,-0.10162976,0.57,0.01878644,0.1163469,1.72453273,0.10162976
104,-0.40442252,0.531807,1.3106453,-1.7150679,-0.18431373,0,0.082131416,0.45038986,0.18593428,-0.10380286,0.55,0.018193,0.09961014,1.71506782,0.103802864
105,-0.42233324,0.51210195,1.2810996,-1.7034328,-0.1764706,0,0.08208305,0.44706368,0.18817909,-0.10609605,0.53,0.01789805,0.08293632,1.70343284,0.10609604
106,-0.4406142,0.4921023,1.249009,-1.6896232,-0.16862746,0,0.08198771,0.44367623,0.19037639,-0.10838868,0.51,0.0178977,0.06632377,1.6896232,0.10838868
107,-0.45925075,0.47181362,1.2143924,-1.6736431,-0.16078432,0,0.0818217,0.4402331,0.19232403,-0.11050233,0.48,0.00818638,0.0397669,1.67364315,0.11050233
108,-0.4782262,0.45124054,1.1772629,-1.6554891,-0.15294118,0,0.081564225,0.43674582,0.1937546,-0.11219037,0.46,0.00875946,0.02325418,1.6554891,0.112190375
109,-0.49752071,0.43038818,1.1376349,-1.6351556,-0.14509805,0,0.0811955,0.43323314,0.19432694,-0.113131434,0.44,0.00961182,0.00676686,1.63515561,0.11313144
110,-0.5171132,0.4092624,1.0955293,-1.6126425,-0.13725491,0,0.08069953,0.4297222,0.19362594,-0.112926416,0.42,0.0107376,0.0097222,1.6126425,0.11292641
111,-0.5369797,0.3878687,1.0509648,-1.5879445,-0.12941177,0,0.08006099,0.42624915,0.19117828,-0.11111728,0.4,0.0121313,0.02624915,1.5879445,0.11111729
112,-0.557094,0.36621124,1.0039607,-1.5610547,-0.12156863,0,0.07926778,0.42285848,0.18649203,-0.10722424,0.37,0.00378876,0.05285848,1.5610547,0.10722425
113,-0.5774274,0.34429792,0.9545492,-1.5319766,-0.11372549,0,0.07830293,0.41959763,0.17915349,-0.10085055,0.35,0.00570208,0.06959763,1.5319766,0.10085056
114,-0.5979497,0.32213378,0.90275955,-1.5007093,-0.105882354,0,0.077144526,0.41651022,0.16896889,-0.09182437,0.33,0.00786622,0.08651022,1.50070925,0.091824364
115,-0.6186259,0.29972798,0.84863394,-1.4672599,-0.09803922,0,0.0757542,0.413612,0.15621415,-0.080459945,0.3,0.00027202,0.113612,1.46725984,0.08045995
116,-0.63942015,0.27708322,0.7922061,-1.4316262,-0.09019608,0,0.07407337,0.4108584,0.14191304,-0.067839675,0.28,0.00291678,0.1308584,1.43162625,0.06783967
117,-0.66029304,0.25421154,0.73353887,-1.393832,-0.08235294,0,0.072006546,0.4080634,0.12797803,-0.05597149,0.26,0.00578846,0.1480634,1.39383191,0.055971484
118,-0.6812023,0.23111859,0.67268556,-1.3538879,-0.07450981,0,0.0693835,0.40472984,0.11657277,-0.047189265,0.23,0.00111859,0.17472984,1.35388786,0.04718927
119,-0.70210344,0.20781761,0.6097296,-1.311833,-0.06666667,0,0.06582655,0.3995949,0.10762955,-0.041802987,0.21,0.00218239,0.1895949,1.31183304,0.041803
120,-0.72294974,0.18431136,0.54473156,-1.2676812,-0.05882353,0,0.060336486,0.38942295,0.094136834,-0.033800364,0.18,0.00431136,0.20942295,1.2676813,0.033800348
121,-0.74369174,0.16061327,0.47779202,-1.2214837,-0.050980393,0,0.0502894,0.36604893,0.06260097,-0.012311578,0.16,0.00061327,0.20604893,1.22148376,0.01231157
122,-0.764275,0.13673562,0.40901822,-1.1732932,-0.043137256,0,0.030448942,0.3111589,0.015982628,0.014466286,0.14,0.00326438,0.1711589,1.17329322,0.014466314
123,-0.7846469,0.11268765,0.33851963,-1.1231666,-0.03529412,0,-0.002573717,0.19644777,-0.0188272,0.016253471,0.11,0.00268765,0.08644777,1.12316653,0.016253484
124,-0.80474836,0.088481605,0.26642346,-1.0711719,-0.02745098,0,-0.03420656,0.01515837,-0.038420647,0.004214078,0.09,0.001518395,0.07484163,1.07117182,0.004214087
125,-0.82452244,0.06413156,0.19287576,-1.0173982,-0.019607844,0,-0.040920094,-0.17320307,-0.070314646,0.029394627,0.06,0.00413156,0.23320307,1.0173982,0.029394552
126,-0.843907,0.03965038,0.11802882,-0.9619358,-0.011764706,0,-0.032957513,-0.30047894,-0.08343649,0.050478935,0.04,0.00034962,0.34047894,0.96193582,0.050478977
127,-0.86284024,0.015051067,0.042046957,-0.9048872,-0.003921569,0,-0.030034479,-0.36389238,-0.060448885,0.030414462,0.01,0.005051067,0.37389238,0.904887197,0.030414406
128,-0.88125604,-0.009648562,-0.03487871,-0.8463774,0.003921569,0,-0.03487865,-0.39091706,-0.051377058,0.016498387,-0.01,0.000351439,0.38091706,0.84637733,0.016498408
129,-0.8990917,-0.034434676,-0.11255855,-0.7865332,0.011764706,0,-0.043982115,-0.4019611,-0.0639385,0.01995638,-0.04,0.005565324,0.3619611,0.78653315,0.019956385
130,-0.9162799,-0.05928898,-0.19077776,-0.72550213,0.019607844,0,-0.05476923,-0.40689087,-0.09101793,0.0362487,-0.06,0.00071102,0.34689087,0.72550214,0.0362487
131,-0.9327562,-0.08419484,-0.26931688,-0.6634393,0.02745098,0,-0.06612208,-0.40985012,-0.12511282,0.058990743,-0.09,0.00580516,0.31985012,0.66343932,0.05899074
132,-0.94845265,-0.10913479,-0.34794343,-0.6005092,0.03529412,0,-0.077666745,-0.41248572,-0.16035266,0.08268591,-0.11,0.00086521,0.30248572,0.60050922,0.082685915
133,-0.9633048,-0.13408977,-0.42641148,-0.5368933,0.043137256,0,-0.08931066,-0.41541636,-0.19331098,0.104000315,-0.14,0.00591023,0.27541636,0.53689332,0.10400032
134,-0.977249,-0.1590392,-0.50446355,-0.47278547,0.050980393,0,-0.101033136,-0.41883397,-0.2226888,0.12165566,-0.16,0.0009608,0.25883397,0.47278545,0.121655664
135,-0.99021804,-0.18396407,-0.5818375,-0.40838054,0.05882353,0,-0.11280675,-0.4227571,-0.24849069,0.13568394,-0.18,0.00396407,0.2427571,0.40838054,0.13568394
136,-1.0021539,-0.20884454,-0.65826774,-0.34388617,0.06666667,0,-0.124573596,-0.42714387,-0.27126747,0.14669389,-0.21,0.00115546,0.21714387,0.34388616,0.146693874
137,-1.0129955,-0.23365718,-0.7334702,-0.27952528,0.07450981,0,-0.13624811,-0.4319337,-0.2916809,0.15543279,-0.23,0.00365718,0.2019337,0.2795253,0.15543279
138,-1.0226849,-0.25838304,-0.80717456,-0.21551037,0.08235294,0,-0.14772417,-0.43707037,-0.31028903,0.16256484,-0.26,0.00161696,0.17707037,0.21551034,0.16256486
139,-1.0311702,-0.28299826,-0.8790955,-0.15207474,0.09019608,0,-0.15888627,-0.44250357,-0.32749882,0.16861257,-0.28,0.00299826,0.16250357,0.1520747,0.16861255
140,-1.0383992,-0.30748177,-0.9489569,-0.0894423,0.09803922,0,-0.1696196,-0.44819498,-0.34356967,0.17395006,-0.3,0.00748177,0.14819498,0.0894423,0.17395007
141,-1.0443265,-0.33181107,-1.0164843,-0.02784234,0.105882354,0,-0.17981346,-0.4541121,-0.3586548,0.17884132,-0.33,0.00181107,0.1241121,0.0278422,0.17884134
142,-1.04891,-0.3559621,-1.0814018,0.032491848,0.11372549,0,-0.1893699,-0.4602251,-0.37283525,0.18346533,-0.35,0.0059621,0.1102251,0.0324918,0.18346535
143,-1.052111,-0.3799134,-1.1434501,0.09133916,0.12156863,0,-0.19820462,-0.4665087,-0.386151,0.18794636,-0.37,0.0099134,0.0965087,0.0913391,0.18794638
144,-1.0538986,-0.40364224,-1.2023802,0.14848155,0.12941177,0,-0.20625079,-0.4729433,-0.39861733,0.19236654,-0.4,0.00364224,0.0729433,0.1484816,0.19236654
145,-1.0542426,-0.427126,-1.2579465,0.20370391,0.13725491,0,-0.21345781,-0.47950423,-0.410236,0.1967782,-0.42,0.007126,0.05950423,0.2037039,0.19677819
146,-1.0531216,-0.45034248,-1.3099259,0.2568043,0.14509805,0,-0.21979213,-0.48617333,-0.42099407,0.20120193,-0.44,0.01034248,0.04617333,0.2568043,0.20120194
147,-1.050522,-0.47326845,-1.3581091,0.30758715,0.15294118,0,-0.22523715,-0.4929325,-0.43087476,0.20563762,-0.46,0.01326845,0.0329325,0.3075871,0.20563761
148,-1.0464287,-0.4958833,-1.402303,0.35587427,0.16078432,0,-0.22978769,-0.4997623,-0.43984854,0.21006085,-0.48,0.0158833,0.0197623,0.3558743,0.21006085
149,-1.0408394,-0.5181646,-1.442338,0.40149862,0.16862746,0,-0.23345229,-0.5066451,-0.44787636,0.21442406,-0.51,0.0081646,0.0033549,0.4014986,0.21442407
150,-1.0337532,-0.54009324,-1.478066,0.44431287,0.1764706,0,-0.23624866,-0.5135653,-0.45490748,0.21865882,-0.53,0.01009324,0.0164347,0.4443128,0.21865882
151,-1.0251744,-0.56164914,-1.5093589,0.48418453,0.18431373,0,-0.2382009,-0.5205039,-0.460885,0.2226841,-0.55,0.01164914,0.0294961,0.4841845,0.2226841
