,du_normal,u_normal,dv_normal,f_star_normal,x,t,du_physics,u_physics,dv_physics,f_star_physics,u_actual,actual_normal,actual_physics,du_dv_normal,du_dv_physics
27,0.15901513,0.6179758,-1.5538559,1.7128711,-0.7882353,0,-0.22397065,0.4145649,-0.43281642,0.20884575,0.62,0.0020242,0.2054351,1.71287103,0.20884577
28,0.16646384,0.6372482,-1.5704808,1.7369447,-0.78039217,0,-0.21994138,0.42233473,-0.42474428,0.2048029,0.64,0.0027518,0.21766527,1.73694464,0.2048029
29,0.17396605,0.656122,-1.5831612,1.7571273,-0.77254903,0,-0.21601076,0.4298408,-0.41712883,0.20111807,0.66,0.003878,0.2301592,1.75712725,0.20111807
30,0.18151528,0.67458534,-1.5918804,1.7733958,-0.7647059,0,-0.2121706,0.43710285,-0.40996683,0.19779623,0.67,0.00458534,0.23289715,1.77339568,0.19779623
31,0.18910578,0.6926257,-1.5966301,1.7857358,-0.75686276,0,-0.2083947,0.44413823,-0.4032212,0.19482648,0.69,0.0026257,0.24586177,1.78573588,0.1948265
32,0.19673201,0.71023285,-1.5974185,1.7941506,-0.7490196,0,-0.20463856,0.45096135,-0.39681974,0.1921812,0.71,0.00023285,0.25903865,1.79415051,0.19218118
33,0.20438832,0.72739464,-1.5942602,1.7986485,-0.7411765,0,-0.20083739,0.45758402,-0.39065173,0.18981434,0.73,0.00260536,0.27241598,1.79864852,0.18981434
34,0.21206874,0.74410146,-1.5871869,1.7992557,-0.73333335,0,-0.19690616,0.46401435,-0.38456345,0.18765727,0.74,0.00410146,0.27598565,1.79925564,0.18765729
35,0.21976848,0.76034397,-1.5762391,1.7960076,-0.7254902,0,-0.19273971,0.47025597,-0.37835613,0.18561643,0.76,0.00034397,0.28974403,1.79600758,0.18561642
36,0.22748144,0.77611023,-1.5614628,1.7889442,-0.7176471,0,-0.18821442,0.47630888,-0.37178707,0.18357266,0.78,0.00388977,0.30369112,1.78894424,0.18357265
37,0.2352026,0.7913942,-1.5429245,1.7781271,-0.70980394,0,-0.18319015,0.48216718,-0.3645645,0.18137436,0.79,0.0013942,0.30783282,1.7781271,0.18137435
38,0.24292657,0.80618495,-1.5206875,1.763614,-0.7019608,0,-0.1775185,0.48782068,-0.35636097,0.17884247,0.81,0.00381505,0.32217932,1.76361407,0.17884247
39,0.2506486,0.8204764,-1.4948347,1.7454833,-0.69411767,0,-0.1710496,0.49325418,-0.346817,0.17576739,0.82,0.0004764,0.32674582,1.7454833,0.1757674
40,0.2583636,0.8342592,-1.46545,1.7238137,-0.6862745,0,-0.16364765,0.49844652,-0.33556935,0.1719217,0.83,0.0042592,0.33155348,1.7238136,0.1719217
41,0.2660665,0.8475267,-1.4326261,1.6986926,-0.6784314,0,-0.1552033,0.50337297,-0.3222695,0.16706622,0.85,0.0024733,0.34662703,1.6986926,0.1670662
42,0.27375248,0.860272,-1.3964643,1.6702168,-0.67058825,0,-0.14565746,0.50800526,-0.30663258,0.1609751,0.86,0.000272,0.35199474,1.67021678,0.16097512
43,0.28141698,0.8724889,-1.3570718,1.6384888,-0.6627451,0,-0.13501689,0.5123136,-0.2884734,0.15345651,0.87,0.0024889,0.3576864,1.63848878,0.15345651
44,0.289055,0.88417107,-1.3145604,1.6036154,-0.654902,0,-0.12337488,0.5162689,-0.26776293,0.14438806,0.88,0.00417107,0.3637311,1.6036154,0.14438805
45,0.29666165,0.8953129,-1.2690494,1.565711,-0.64705884,0,-0.1109224,0.51984555,-0.24466878,0.13374637,0.9,0.0046871,0.38015445,1.56571105,0.13374638
46,0.30423245,0.90590894,-1.2206591,1.5248916,-0.6392157,0,-0.09795139,0.5230247,-0.21958989,0.12163851,0.91,0.00409106,0.3869753,1.52489155,0.1216385
47,0.31176257,0.9159539,-1.1695188,1.4812814,-0.6313726,0,-0.08484418,0.52579665,-0.19316222,0.108318046,0.92,0.0040461,0.39420335,1.48128137,0.10831804
48,0.3192472,0.92544407,-1.1157578,1.4350051,-0.62352943,0,-0.07205035,0.52816427,-0.1662406,0.094190255,0.93,0.00455593,0.40183573,1.435005,0.09419025
49,0.32668135,0.93437344,-1.0595106,1.386192,-0.6156863,0,-0.06004763,0.53014344,-0.13983853,0.079790905,0.93,0.00437344,0.39985656,1.38619195,0.0797909
50,0.33406016,0.94273955,-1.0009155,1.3349757,-0.60784316,0,-0.049293265,0.5317653,-0.11503909,0.06574582,0.94,0.00273955,0.4082347,1.33497566,0.065745825
51,0.3413785,0.9505382,-0.9401134,1.2814919,-0.6,0,-0.040171918,0.5330736,-0.0928834,0.052711483,0.95,0.0005382,0.4169264,1.2814919,0.052711482
52,0.3486317,0.9577647,-0.8772445,1.2258762,-0.5921569,0,-0.032945514,0.5341229,-0.0742481,0.041302584,0.96,0.0022353,0.4258771,1.2258762,0.041302586
53,0.35581347,0.9644174,-0.81245816,1.1682717,-0.58431375,0,-0.027716698,0.5349743,-0.05973831,0.03202161,0.97,0.0055826,0.4350257,1.16827163,0.032021612
54,0.36291894,0.9704924,-0.74589866,1.1088177,-0.5764706,0,-0.024406308,0.53569055,-0.049597424,0.025191115,0.97,0.0004924,0.43430945,1.1088176,0.025191116
55,0.3699423,0.975987,-0.67771703,1.0476594,-0.5686275,0,-0.022758445,0.5363302,-0.043670528,0.020912085,0.98,0.004013,0.4436698,1.04765933,0.020912083
56,0.37687758,0.9808994,-0.60806453,0.98494214,-0.56078434,0,-0.02236399,0.5369429,-0.041404374,0.019040383,0.98,0.0008994,0.4430571,0.98494211,0.019040384
57,0.3837185,0.9852267,-0.5370938,0.9208123,-0.5529412,0,-0.022705758,0.5375639,-0.041900046,0.019194286,0.99,0.0047733,0.4524361,0.9208123,0.019194288
58,0.39045888,0.9889663,-0.4649587,0.85541755,-0.54509807,0,-0.023219526,0.5382119,-0.044010904,0.020791378,0.99,0.0010337,0.4517881,0.85541758,0.020791378
59,0.39709184,0.99211735,-0.39181763,0.7889095,-0.5372549,0,-0.023357911,0.5388879,-0.046465237,0.023107324,0.99,0.00211735,0.4511121,0.78890947,0.023107326
60,0.40361065,0.99467736,-0.31782413,0.7214348,-0.5294118,0,-0.022654517,0.5395755,-0.048012085,0.025357569,1,0.00532264,0.4604245,0.72143478,0.025357568
61,0.41000733,0.9966461,-0.24314256,0.6531499,-0.52156866,0,-0.020773705,0.5402438,-0.047561653,0.026787948,1,0.0033539,0.4597562,0.65314989,0.026787948
62,0.41627502,0.9980208,-0.16793005,0.5842051,-0.5137255,0,-0.017541418,0.540852,-0.04430279,0.026761375,1,0.0019792,0.459148,0.58420507,0.026761372
63,0.42240557,0.99880177,-0.09234855,0.5147541,-0.5058824,0,-0.012954141,0.54135394,-0.03778795,0.02483381,1,0.00119823,0.45864606,0.51475412,0.024833809
64,0.42839053,0.9989876,-0.01656128,0.44495183,-0.49803922,0,-0.00716187,0.5417041,-0.027958011,0.020796143,1,0.0010124,0.4582959,0.44495181,0.020796141
65,0.43422163,0.99857765,0.059266627,0.374955,-0.49019608,0,-0.000434046,0.5418622,-0.015119894,0.014685849,1,0.00142235,0.4581378,0.374955003,0.014685848
66,0.4398896,0.99757224,0.1349713,0.3049183,-0.48235294,0,0.006886167,0.54179627,0.000123572,0.006762595,1,0.00242776,0.45820373,0.3049183,0.006762595
67,0.44538534,0.99597055,0.21038558,0.23499976,-0.4745098,0,0.014431127,0.541486,0.01697684,-0.002545713,1,0.00402945,0.458514,0.23499976,0.002545713
68,0.45069936,0.9937734,0.28534067,0.16535869,-0.46666667,0,0.02185401,0.54092306,0.034566168,-0.012712158,0.99,0.0037734,0.44907694,0.16535869,0.012712158
69,0.45582184,0.9909807,0.35967043,0.09615141,-0.45882353,0,0.028861495,0.5401099,0.052043516,-0.023182023,0.99,0.0009807,0.4498901,0.09615141,0.023182021
70,0.46074274,0.9875931,0.43320534,0.027537392,-0.4509804,0,0.035237286,0.53905916,0.06867718,-0.03343989,0.99,0.0024069,0.45094084,0.0275374,0.033439894
71,0.46545145,0.98361236,0.50577706,-0.04032563,-0.44313726,0,0.04084729,0.5377907,0.08390002,-0.04305273,0.98,0.00361236,0.4422093,0.04032561,0.04305273
72,0.46993732,0.979039,0.577215,-0.1072777,-0.43529412,0,0.045638725,0.536329,0.097341545,-0.051702816,0.98,0.000961,0.443671,0.10727768,0.05170282
73,0.47418982,0.97387475,0.64735115,-0.17316134,-0.42745098,0,0.049627114,0.53470117,0.10882065,-0.05919353,0.97,0.00387475,0.43529883,0.17316133,0.059193536
74,0.47819805,0.9681216,0.71601933,-0.2378213,-0.41960785,0,0.05287973,0.53293425,0.11832136,-0.06544162,0.97,0.0018784,0.43706575,0.23782128,0.06544163
75,0.48195043,0.96178204,0.7830476,-0.30109715,-0.4117647,0,0.055500362,0.53105336,0.1259646,-0.07046424,0.96,0.00178204,0.42894664,0.30109717,0.070464238
76,0.48543644,0.95485836,0.8482731,-0.36283666,-0.40392157,0,0.05760934,0.52908087,0.13195617,-0.07434684,0.95,0.00485836,0.42091913,0.36283666,0.07434683
77,0.4886441,0.947354,0.91153,-0.4228859,-0.39607844,0,0.05933264,0.5270352,0.13655971,-0.07722707,0.95,0.002646,0.4229648,0.4228859,0.07722707
78,0.49156308,0.9392714,0.9726577,-0.48109457,-0.3882353,0,0.060790405,0.52493125,0.14005683,-0.07926643,0.94,0.0007286,0.41506875,0.48109462,0.079266425
79,0.49418184,0.93061537,1.0314977,-0.53731585,-0.38039216,0,0.062089752,0.52278036,0.14272355,-0.08063379,0.93,0.00061537,0.40721964,0.53731586,0.080633798
80,0.49648982,0.9213894,1.0878935,-0.59140366,-0.37254903,0,0.0633219,0.5205893,0.1448131,-0.08149121,0.92,0.0013894,0.3994107,0.59140368,0.0814912
81,0.49847567,0.91159827,1.1416948,-0.6432192,-0.3647059,0,0.064560264,0.5183626,0.14654632,-0.08198605,0.91,0.00159827,0.3916374,0.64321913,0.081986056
82,0.50012934,0.9012465,1.1927555,-0.6926261,-0.35686275,0,0.06586124,0.5161018,0.14810733,-0.0822461,0.9,0.0012465,0.3838982,0.69262616,0.08224609
83,0.5014405,0.89034027,1.2409322,-0.7394917,-0.34901962,0,0.06726484,0.51380646,0.14963967,-0.082374826,0.89,0.00034027,0.37619354,0.7394917,0.08237483
84,0.5023996,0.8788852,1.2860942,-0.7836946,-0.34117648,0,0.06879693,0.51147527,0.15125202,-0.082455084,0.88,0.0011148,0.36852473,0.7836946,0.08245509
85,0.5029972,0.8668869,1.3281119,-0.82511467,-0.33333334,0,0.07047229,0.5091044,0.15302244,-0.08255014,0.87,0.0031131,0.3608956,0.8251147,0.08255015
86,0.50322425,0.8543535,1.3668656,-0.8636414,-0.3254902,0,0.072294645,0.5066902,0.15499742,-0.08270278,0.85,0.0043535,0.3433098,0.86364135,0.082702775
87,0.503073,0.8412915,1.4022428,-0.8991698,-0.31764707,0,0.07426052,0.50422806,0.15720372,-0.08294319,0.84,0.0012915,0.33577194,0.8991698,0.0829432
88,0.50253546,0.8277077,1.4341396,-0.9316041,-0.30980393,0,0.07635905,0.5017145,0.15964523,-0.08328617,0.83,0.0022923,0.3282855,0.93160414,0.08328618
89,0.50160503,0.81361187,1.4624641,-0.960859,-0.3019608,0,0.078574635,0.4991446,0.16231366,-0.08373901,0.81,0.00361187,0.3108554,0.96085907,0.083739025
90,0.5002757,0.79901177,1.4871317,-0.98685604,-0.29411766,0,0.08088714,0.49651414,0.1651883,-0.08430116,0.8,0.00098823,0.30348586,0.986856,0.08430116
91,0.49854124,0.7839162,1.5080681,-1.0095268,-0.28627452,0,0.08327255,0.4938199,0.16823758,-0.084965035,0.78,0.0039162,0.2861801,1.00952686,0.08496503
92,0.49639732,0.76833564,1.525212,-1.0288147,-0.2784314,0,0.0857039,0.49105883,0.17142704,-0.08572315,0.77,0.00166436,0.27894117,1.02881468,0.08572314
93,0.4938409,0.7522791,1.5385122,-1.0446713,-0.27058825,0,0.08815101,0.48822826,0.17471592,-0.086564906,0.75,0.0022791,0.26177174,1.0446713,0.08656491
94,0.4908683,0.7357557,1.5479265,-1.0570582,-0.2627451,0,0.090581685,0.48532563,0.17806202,-0.08748034,0.73,0.0057557,0.24467437,1.0570582,0.087480335
95,0.48747742,0.7187785,1.5534301,-1.0659527,-0.25490198,0,0.092960015,0.48235053,0.18142115,-0.08846114,0.72,0.0012215,0.23764947,1.06595268,0.088461135
96,0.4836673,0.70135736,1.5550057,-1.0713383,-0.24705882,0,0.0952479,0.479302,0.18474908,-0.08950118,0.7,0.00135736,0.220698,1.0713384,0.08950118
97,0.4794376,0.68350303,1.5526478,-1.0732102,-0.23921569,0,0.09740477,0.47617978,0.18800329,-0.090598516,0.68,0.00350303,0.20382022,1.0732102,0.09059852
98,0.47478896,0.665228,1.5463654,-1.0715764,-0.23137255,0,0.09938768,0.4729852,0.19114193,-0.09175425,0.66,0.005228,0.1870148,1.07157644,0.09175425
99,0.46972248,0.6465446,1.5361775,-1.066455,-0.22352941,0,0.10115145,0.469719,0.1941236,-0.092972144,0.65,0.0034554,0.180281,1.06645502,0.09297215
100,0.46424064,0.6274641,1.5221156,-1.0578749,-0.21568628,0,0.10264917,0.46638346,0.19690943,-0.09426027,0.63,0.0025359,0.16361654,1.05787496,0.09426026
101,0.45834565,0.608,1.5042195,-1.0458739,-0.20784314,0,0.103832416,0.46298128,0.19946024,-0.09562783,0.61,0.002,0.14701872,1.04587385,0.095627824
102,0.45204234,0.58816445,1.4825447,-1.0305023,-0.2,0,0.10465343,0.4595164,0.20173854,-0.0970851,0.59,0.00183555,0.1304836,1.03050236,0.09708511
103,0.44533452,0.5679707,1.4571538,-1.0118192,-0.19215687,0,0.10506448,0.45599264,0.20370297,-0.0986385,0.57,0.0020293,0.11400736,1.01181928,0.09863849
104,0.43822744,0.54743165,1.4281199,-0.9898925,-0.18431373,0,0.10502194,0.45241565,0.2053146,-0.10029266,0.55,0.00256835,0.09758435,0.98989246,0.10029266
105,0.43072695,0.52656215,1.3955295,-0.9648026,-0.1764706,0,0.104485676,0.44879228,0.20652454,-0.10203885,0.53,0.00343785,0.08120772,0.96480255,0.102038864
106,0.42283943,0.5053735,1.35947,-0.93663055,-0.16862746,0,0.103424504,0.44512928,0.20727953,-0.10385503,0.51,0.0046265,0.06487072,0.93663057,0.103855026
107,0.41457197,0.4838813,1.3200475,-0.9054755,-0.16078432,0,0.101817206,0.4414367,0.20751083,-0.10569363,0.48,0.0038813,0.0385633,0.90547553,0.105693624
108,0.40593156,0.46209806,1.2773681,-0.8714365,-0.15294118,0,0.09965767,0.43772697,0.20713048,-0.107472815,0.46,0.00209806,0.02227303,0.87143654,0.10747281
109,0.39692727,0.44003868,1.231552,-0.8346248,-0.14509805,0,0.096959606,0.43401366,0.20601963,-0.10906003,0.44,3.87E-05,0.00598634,0.83462473,0.109060024
110,0.38756704,0.41771698,1.1827221,-0.795155,-0.13725491,0,0.09376122,0.43031722,0.204018,-0.11025678,0.42,0.00228302,0.01031722,0.79515506,0.11025678
111,0.37785998,0.39514714,1.1310092,-0.7531493,-0.12941177,0,0.09013311,0.42666113,0.2009102,-0.11077709,0.4,0.00485286,0.02666113,0.75314922,0.11077709
112,0.3678154,0.37234354,1.0765519,-0.70873654,-0.12156863,0,0.08618305,0.42307574,0.19640534,-0.11022229,0.37,0.00234354,0.05307574,0.7087365,0.11022229
113,0.3574435,0.3493194,1.0194896,-0.6620462,-0.11372549,0,0.08206576,0.41959804,0.19013406,-0.1080683,0.35,0.0006806,0.06959804,0.6620461,0.1080683
114,0.3467544,0.32609022,0.9599741,-0.6132197,-0.105882354,0,0.0779884,0.41626823,0.18163788,-0.10364949,0.33,0.00390978,0.08626823,0.6132197,0.10364948
115,0.3357592,0.30266964,0.89815646,-0.5623973,-0.09803922,0,0.07421364,0.41312015,0.17038076,-0.096167125,0.3,0.00266964,0.11312015,0.56239726,0.09616712
116,0.32446906,0.27907264,0.8341955,-0.5097264,-0.09019608,0,0.071053654,0.41014737,0.15580449,-0.08475084,0.28,0.00092736,0.13014737,0.50972644,0.084750836
117,0.312896,0.2553146,0.7682559,-0.45535988,-0.08235294,0,0.068826795,0.40721703,0.13751686,-0.068690054,0.26,0.0046854,0.14721703,0.4553599,0.068690065
118,0.30105215,0.23140754,0.7004951,-0.39944297,-0.07450981,0,0.067711055,0.40384406,0.11610685,-0.048395798,0.23,0.00140754,0.17384406,0.39944295,0.048395795
119,0.28895023,0.20736809,0.63108844,-0.3421382,-0.06666667,0,0.06733878,0.3986271,0.09626567,-0.028926909,0.21,0.00263191,0.1886271,0.34213821,0.02892689
120,0.27660394,0.1832106,0.5602066,-0.28360263,-0.05882353,0,0.06595538,0.38796216,0.09196931,-0.02601391,0.18,0.0032106,0.20796216,0.28360266,0.02601393
121,0.26402676,0.1589484,0.4880197,-0.22399294,-0.050980393,0,0.059299845,0.3633703,0.101526976,-0.04222715,0.16,0.0010516,0.2033703,0.22399294,0.042227131
122,0.25123334,0.13459665,0.4147059,-0.16347256,-0.043137256,0,0.03948115,0.3068815,0.030600786,0.008880377,0.14,0.00540335,0.1668815,0.16347256,0.008880364
123,0.2382387,0.11017078,0.34044537,-0.10220666,-0.03529412,0,-0.001438459,0.19053082,-0.01090169,0.00946331,0.11,0.00017078,0.08053082,0.10220667,0.009463231
124,0.22505873,0.085683316,0.26541114,-0.040352397,-0.02745098,0,-0.041235574,0.009439558,-0.049581468,0.008345902,0.09,0.004316684,0.080560442,0.04035241,0.008345894
125,0.21170954,0.06115073,0.18978909,0.021920454,-0.019607844,0,-0.038848016,-0.17647403,-0.05991888,0.021070957,0.06,0.00115073,0.23647403,0.02192045,0.021070864
126,0.19820783,0.03658633,0.11375565,0.084452175,-0.011764706,0,-0.014720781,-0.3009206,-0.028702497,0.013981819,0.04,0.00341367,0.3409206,0.08445218,0.013981716
127,0.1845708,0.012005135,0.037493315,0.14707749,-0.003921569,0,-0.006772593,-0.36233807,-0.10529852,0.09852588,0.01,0.002005135,0.37233807,0.147077485,0.098525927
128,0.17081662,-0.012579173,-0.0388203,0.20963693,0.003921569,0,-0.015432064,-0.38906384,-0.07160866,0.056176603,-0.01,0.002579173,0.37906384,0.20963692,0.056176596
129,0.15696347,-0.03715135,-0.115003124,0.27196658,0.011764706,0,-0.03184537,-0.40024668,-0.04765308,0.015807718,-0.04,0.00284865,0.36024668,0.271966594,0.01580771
130,0.14303035,-0.061698303,-0.19088069,0.33391103,0.019607844,0,-0.05038805,-0.4050476,-0.059765927,0.009377874,-0.06,0.001698303,0.3450476,0.33391104,0.009377877
131,0.12903656,-0.08620441,-0.26627192,0.3953085,0.02745098,0,-0.06831012,-0.40759438,-0.092369616,0.024059495,-0.09,0.00379559,0.31759438,0.39530848,0.024059496
132,0.11500168,-0.11065681,-0.3410059,0.45600757,0.03529412,0,-0.08454571,-0.409697,-0.13158736,0.04704164,-0.11,0.00065681,0.299697,0.45600758,0.04704165
133,0.10094558,-0.13504055,-0.41490725,0.5158528,0.043137256,0,-0.09889859,-0.4121021,-0.17044368,0.07154509,-0.14,0.00495945,0.2721021,0.51585283,0.07154509
134,0.08688876,-0.15934218,-0.48780638,0.57469517,0.050980393,0,-0.111553594,-0.41507554,-0.2062578,0.09470421,-0.16,0.00065782,0.25507554,0.57469514,0.094704206
135,0.07285144,-0.18354739,-0.5595347,0.63238615,0.05882353,0,-0.122813426,-0.41866913,-0.23836613,0.1155527,-0.18,0.00354739,0.23866913,0.63238614,0.115552704
136,0.058854043,-0.20764281,-0.6299285,0.6887826,0.06666667,0,-0.1329741,-0.42284822,-0.26689246,0.13391834,-0.21,0.00235719,0.21284822,0.688782543,0.13391836
137,0.044916976,-0.23161462,-0.698824,0.743741,0.07450981,0,-0.14227787,-0.42754722,-0.29220736,0.14992948,-0.23,0.00161462,0.19754722,0.743740976,0.14992949
138,0.031061303,-0.25544846,-0.76606137,0.79712266,0.08235294,0,-0.15090369,-0.4326946,-0.31470808,0.16380441,-0.26,0.00455154,0.1726946,0.797122673,0.16380439
139,0.017307142,-0.27913132,-0.83148503,0.8487922,0.09019608,0,-0.15897304,-0.4382218,-0.33474168,0.17576864,-0.28,0.00086868,0.1582218,0.848792172,0.17576864
140,0.003674476,-0.30264974,-0.89494276,0.8986172,0.09803922,0,-0.16655849,-0.44406843,-0.35257903,0.18602054,-0.3,0.00264974,0.14406843,0.898617236,0.18602054
141,-0.009815982,-0.32598928,-0.956282,0.946466,0.105882354,0,-0.17370166,-0.45017838,-0.36844048,0.19473884,-0.33,0.00401072,0.12017838,0.946466018,0.19473882
142,-0.023145385,-0.34913826,-1.0153623,0.9922168,0.11372549,0,-0.18041718,-0.45650375,-0.3824945,0.20207733,-0.35,0.00086174,0.10650375,0.992216915,0.20207732
143,-0.036293868,-0.3720808,-1.0720341,1.0357403,0.12156863,0,-0.18670538,-0.46300203,-0.39487204,0.20816667,-0.37,0.0020808,0.09300203,1.035740232,0.20816666
144,-0.049242526,-0.39480507,-1.1261637,1.0769212,0.12941177,0,-0.19255927,-0.4696343,-0.4056898,0.21313052,-0.4,0.00519493,0.0696343,1.076921174,0.21313053
145,-0.061973233,-0.41729784,-1.1776158,1.1156425,0.13725491,0,-0.19796814,-0.476368,-0.41504773,0.21707958,-0.42,0.00270216,0.056368,1.115642567,0.21707959
146,-0.07446775,-0.43954444,-1.2262586,1.1517909,0.14509805,0,-0.20292258,-0.48317224,-0.42304397,0.22012138,-0.44,0.00045556,0.04317224,1.15179085,0.22012139
147,-0.08670973,-0.46153325,-1.2719705,1.1852608,0.15294118,0,-0.20741822,-0.4900207,-0.42977998,0.22236176,-0.46,0.00153325,0.0300207,1.18526077,0.22236176
148,-0.098682225,-0.48324966,-1.3146286,1.2159463,0.16078432,0,-0.21145646,-0.49688917,-0.435361,0.22390455,-0.48,0.00324966,0.01688917,1.215946375,0.22390454
149,-0.110369585,-0.5046811,-1.3541175,1.243748,0.16862746,0,-0.21504536,-0.503758,-0.43989846,0.2248531,-0.51,0.0053189,0.006242,1.243747915,0.2248531
150,-0.12175651,-0.5258141,-1.3903319,1.2685753,0.1764706,0,-0.21819969,-0.51060987,-0.4435061,0.22530642,-0.53,0.0041859,0.01939013,1.26857539,0.22530641
151,-0.13282901,-0.54663426,-1.4231639,1.2903348,0.18431373,0,-0.22094359,-0.5174297,-0.44630894,0.22536536,-0.55,0.00336574,0.0325703,1.29033489,0.22536535
152,-0.14357431,-0.5671309,-1.4525251,1.3089508,0.19215687,0,-0.22330566,-0.52420574,-0.44842958,0.22512391,-0.57,0.0028691,0.04579426,1.30895079,0.22512392
153,-0.15397958,-0.5872892,-1.478322,1.3243425,0.2,0,-0.22531614,-0.5309284,-0.44997874,0.2246626,-0.59,0.0027108,0.0590716,1.32434242,0.2246626
